Setting,Average_h,Max_h,Min_h,Stdev_h,Final_h,Original_h,New_h,Avg_c,Max_c,Min_c,Stdev_c,Max_a,Min_a,Avg_a,Max_b,Min_b,Avg_b
CapEQ15mat3mut,243.8,250,229,6.972963661329537,321825.8,8.6,235.2,2.024,4,1,0.13091133555875814,4,1,2.6544687715485447,19,1,2.676276360834714
CapEQ15mat4mut,243.2,250,231,6.0699624747146865,426890.6,7.1,236.1,2.024,4,1,0.17404980130219438,16,1,2.7745308253683945,9,1,2.6640648460541474
CapEQ15mat5mut,244.3,250,224,7.689097620801951,534377.8,6.9,237.4,1.988,5,1,0.1448984318602363,14,1,2.702571761301166,15,1,2.7187262420917104
CapEQ20mat1mut,243.6,248,236,4.1952353926806065,109015.8,7.6,236.0,1.92,4,1,0.09614803401237305,15,1,2.6519504975175354,18,1,2.7447483419646126
CapEQ20mat2mut,240.1,250,207,14.654919538048194,219483.1,6.8,233.3,1.908,5,1,0.2444404040070117,4,1,2.687856224454468,5,1,2.6754168263917655
CapEQ20mat3mut,246.1,250,242,2.64365067451978,326121.8,6.1,240.0,1.892,4,1,0.09052930771609574,19,1,2.7156437280275223,8,1,2.6700871316034682
CapEQ20mat4mut,241.7,250,225,7.94494947889678,442056.5,5.7,236.0,1.776,4,1,0.16674664747587714,6,1,2.7295143343653634,12,1,2.6754151747911044
CapEQ20mat5mut,247.0,250,242,2.449489742783178,545318.7,5,242.0,1.84,3,1,0.07302967433402213,19,1,2.68444421239621,4,1,2.675141983408625
CapEQ25mat1mut,240.7,249,223,7.211872926716826,110548.2,7.6,233.1,1.888,4,1,0.14942854107863365,4,1,2.6644890390347813,6,1,2.736129101073916
CapEQ25mat2mut,242.6,250,231,7.3363630105265525,222608.0,7.8,234.8,1.812,4,1,0.14972567507871778,14,1,2.6437254163413684,10,1,2.6428976583090997
CapEQ25mat3mut,242.5,250,232,5.778311941119905,333599.8,5.9,236.6,1.812,4,1,0.12795832654944084,12,1,2.6319227779961327,6,1,2.726449029036141
CapEQ25mat4mut,243.3,250,222,8.300602387778854,445941.3,6.1,237.2,1.764,4,1,0.11992590304943392,18,1,2.6171275473468376,9,1,2.644420786482498
CapEQ25mat5mut,242.5,250,218,9.324400487132909,559361.0,5,237.5,1.732,4,1,0.11477514248883919,7,1,2.6511594256482045,4,1,2.6900616483437965
